"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I - Regular Caseload","6,627","2,263","587","655"
"Compact","434","217","",""
"73 Field Officers + 26 ISP Officers","","","",""
"","","","",""
"REGION II - Regular Caseload","6,060","1,292","393","355"
"Compact","298","120","",""
"54 Field Officers + 16 ISP Officers","","","",""
"","","","",""
"REGION III - Regular Caseload","7,404","2,531","562","629"
"Compact","673","290","",""
"99 Field Officers + 37 ISP Officers","","","",""
"TOTAL","21,496","6,713","1,542","1,639"
