"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","29","77","0","1","107","9.54"
"1 - 2 Years","107","124","4","2","237","21.12"
"3 - 5 Years","183","276","4","5","468","41.71"
"6 - 10 Years","108","134","3","0","245","21.84"
"11 - 20 Years","30","25","2","0","57","5.08"
"21 -30 Years","3","3","0","0","6",".53"
"Greater Than 30 Years","0","0","0","0","0",".00"
"Life","2","0","0","0","2",".18"
"Verification Pending","0","0","0","0","0",".00"
"TOTAL","462","639","13","8","1,122","100.00"
