"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","392","278","1","4","675","8.19"
"1 - 2 Years","950","546","13","11","1,520","18.47"
"3 - 5 Years","1846","1162","31","5","3,044","37.00"
"6 - 10 Years","1376","672","22","7","2,077","25.24"
"11 - 20 Years","511","232","3","1","747","9.08"
"21 -30 Years","51","22","1","0","74",".90"
"Greater Than 30 Years","31","9","0","0","40",".49"
"Life","38","8","0","1","47",".57"
"Death","1","1","0","0","2",".02"
"Verification Pending","0","3","0","0","3",".04"
"TOTAL","5,196","2,933","71","29","8,229","100.00"
