"Offenders Supervised in Mississippi for Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","378","","932","","1,310"
"AUG","","392","","986","","1,378"
"SEP","","406","","1,037","","1,443"
"OCT","","424","","1,102","","1,526"
"NOV","","439","","1,151","","1,590"
"DEC","","459","","1,206","","1,665"
"JAN","","476","","1,256","","1,732"
"FEB","","494","","1,316","","1,810"
"MAR","","510","","1,388","","1,898"
"APR","","522","","1,439","","1,961"
"MAY","","543","","1,483","","2,026"
"JUN","","567","","1,537","","2,104"
