"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","915","539","8","2","1,464"
"Homicide/Manslaughter","113","41","0","1","155"
"Property","1,079","834","12","17","1,942"
"Possession of Drugs","1,110","887","32","3","2,032"
"Robbery","407","82","1","1","491"
"Sale of Drugs","1,000","223","7","3","1,233"
"Sex Offense","152","149","4","1","306"
"Violent","420","178","7","1","606"
"TOTAL","5,196","2,933","71","29","8,229"
