"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,464","76","1,540","16.47"
"Homicide/Manslaughter","155","17","172","1.84"
"Property","1,942","427","2,369","25.33"
"Possession of Drugs","2,032","309","2,341","25.03"
"Robbery","491","24","515","5.51"
"Sale of Drugs","1,233","184","1,417","15.15"
"Sex Offense","306","8","314","3.36"
"Violent","606","77","683","7.30"
"TOTAL","8,229","1,122","9,351","100.00"
