"JUN '05","JUN '04","JUN '03","JUN '02","JUN '01","TOTAL"
"13","22","11","20","33","143"
"2","0","0","0","0","9"
"9","5","6","10","0","67"
"18","7","13","10","23","162"
"3","5","4","5","6","43"
"2","3","6","4","12","51"
"15","17","12","14","20","208"
"8","7","6","2","2","85"
"10","7","5","6","1","49"
"4","1","3","6","12","54"
"11","8","9","4","10","103"
"2","0","5","3","5","26"
"8","17","10","9","0","97"
"7","8","5","5","5","62"
"3","0","0","3","1","21"
"7","15","2","5","6","110"
"4","11","15","7","17","103"
"7","5","8","9","7","51"
"0","0","0","0","0","0"
"7","9","3","1","10","63"
"8","7","7","9","9","94"
"4","3","7","7","7","42"
"1","1","0","1","5","9"
"15","27","21","19","24","202"
"10","9","5","4","4","79"
"1","0","2","1","1","7"
"3","1","6","5","3","29"
"3","3","1","1","2","18"
"3","0","1","3","2","14"
"8","2","2","3","8","43"
"2","2","1","3","6","38"
"1","1","7","2","4","43"
"3","3","3","2","4","23"
"1","3","0","1","0","10"
"0","0","0","0","4","13"
"6","6","4","6","8","58"
"1","1","0","4","3","19"
