"COUNTY","JUN ‘11","JUN '10","JUN '09","JUN '08","JUN '07","JUN '06"
"Warren","19","21","4","6","6","18"
"Washington","47","27","39","46","32","61"
"Wayne","4","2","2","3","5","1"
"Webster","1","4","3","7","10","9"
"Wilkinson","4","5","2","3","3","0"
"Winston","3","9","4","2","1","2"
"Yalobusha","4","3","4","0","1","4"
"Yazoo","5","15","16","8","26","24"
"TOTALS","1,381","1,247","1,182","1,085","1,243","1,367"
