"JUN '05","JUN '04","JUN '03","JUN '02","JUN '01","TOTAL"
"4","1","1","0","5","37"
"5","8","5","11","12","62"
"1","0","2","0","7","16"
"2","1","3","4","3","48"
"0","0","0","0","1","15"
"5","8","7","8","10","57"
"4","0","3","13","6","41"
"3","5","2","4","5","34"
"3","6","6","5","5","74"
"1","2","1","0","2","18"
"0","0","1","6","2","14"
"1","0","0","1","2","7"
"8","6","5","1","4","84"
"1","3","3","14","5","40"
"4","4","11","5","11","77"
"2","3","1","2","2","16"
"5","9","17","14","13","151"
"9","6","12","9","22","105"
"2","0","1","0","0","14"
"3","7","10","2","2","32"
"0","0","0","0","2","6"
"2","3","1","2","8","50"
"7","1","2","7","8","42"
"23","29","28","27","56","247"
"16","11","21","16","30","224"
"2","2","3","3","5","66"
"1","0","1","4","4","13"
"1","0","1","1","0","4"
"2","1","1","0","3","24"
"7","14","11","7","14","83"
"0","0","1","0","0","10"
"1","0","1","3","4","14"
"0","1","0","0","0","9"
"8","10","11","8","10","97"
"0","0","1","2","3","10"
"5","6","4","10","8","47"
"6","4","0","2","2","23"
