"JUN '05","JUN '04","JUN '03","JUN '02","JUN '01","TOTAL"
"33","6","19","19","30","201"
"46","25","25","24","11","337"
"22","28","12","11","11","149"
"2","5","11","9","6","54"
"1","1","3","6","1","50"
"15","27","31","43","32","243"
"5","2","9","20","14","95"
"14","10","3","2","0","57"
"17","36","18","17","20","224"
"2","1","5","5","3","33"
"1","1","4","5","8","39"
"1","0","1","1","5","12"
"26","10","12","10","17","125"
"12","17","12","6","6","136"
"8","17","12","19","26","144"
"1","7","4","3","0","51"
"27","16","15","17","14","237"
"56","24","36","54","44","465"
"7","0","14","5","5","67"
"19","30","29","28","7","204"
"6","0","7","7","4","49"
"0","7","8","5","9","63"
"14","5","11","10","22","188"
"68","87","74","93","85","953"
"50","56","48","53","67","474"
"16","13","24","26","23","185"
"3","2","18","20","14","86"
"0","0","0","0","2","4"
"1","1","2","0","1","98"
"38","39","61","81","22","422"
"5","4","0","1","0","44"
"1","2","0","2","2","23"
"0","0","0","0","0","25"
"86","55","48","63","71","723"
"1","2","0","4","0","30"
"13","18","16","16","26","246"
"5","5","14","11","3","107"
