"WILKINSON COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education","60","Open Entry/Exit"
"Carpentry Skills Trades","Vacant","Open Entry/Exit"
"Computer Assistant Instruction","10","Open Entry/Exit"
"Drug & Alcohol","20","7 to 20 Months"
"Faith Based","61","Open Entry/Exit"
"General Education Development","114","Open Entry/Exit"
"Horticulture","22","Open Entry/Exit"
