"COUNTY 
JUN ‘11 
JUN '10 
JUN '09 
JUN '08 
JUN '07 
JUN '06","","","","","",""
"Adams","12","16","23","9","18","16"
"Alcorn","45","58","37","20","21","25"
"Amite","11","13","11","12","9","9"
"Attala","4","5","4","3","3","2"
"Benton","17","5","9","3","3","1"
"Bolivar","11","11","20","20","18","15"
"Calhoun","6","9","5","5","16","4"
"Carroll","3","7","1","3","5","9"
"Chickasaw","16","24","9","17","22","28"
"Choctaw","4","6","3","2","0","2"
"Claiborne","1","2","0","0","6","11"
"Clarke","2","0","0","0","2","0"
"Clay","9","4","11","10","6","10"
"Coahoma","10","12","12","16","12","21"
"Copiah","4","9","4","11","16","18"
"Covington","10","9","4","7","6","0"
"DeSoto","21","24","23","33","21","26"
"Forrest","53","42","36","41","31","48"
"Franklin","4","7","13","6","6","0"
"George","10","9","17","13","14","28"
"Greene","4","5","3","7","6","0"
"Grenada","14","0","8","5","6","1"
"Hancock","32","15","12","19","22","26"
"Harrison","146","134","98","89","52","27"
"Hinds","51","36","32","41","16","24"
"Holmes","7","15","8","20","8","25"
"Humphreys","4","7","8","0","5","5"
"Issaquena","1","0","0","0","0","1"
"Itawamba","26","37","11","12","6","1"
"Jackson","39","39","35","31","23","14"
"Jasper","4","5","12","2","6","5"
"Jefferson","3","2","1","1","9","0"
"Jeff Davis","6","4","0","9","6","0"
"Jones","63","66","75","73","57","66"
"Kemper","18","3","0","0","2","0"
"Lafayette","17","14","34","24","28","40"
"Lamar","0","17","17","18","12","5"
