"COUNTY 
JUN ‘11 
JUN '10 
JUN '09 
JUN '08 
JUN '07 
JUN '06","","","","","",""
"Lauderdale","12","7","14","16","14","20"
"Lawrence","11","4","2","9","4","0"
"Leake","5","8","5","4","4","4"
"Lee","76","60","56","46","40","49"
"Leflore","11","15","22","15","20","23"
"Lincoln","25","26","26","21","18","19"
"Lowndes","19","31","25","32","28","18"
"Madison","37","45","30","19","26","36"
"Marion","18","25","14","27","33","39"
"Marshall","29","24","34","30","20","23"
"Monroe","37","35","23","26","24","21"
"Montgomery","1","4","1","4","5","2"
"Neshoba","1","4","4","5","2","10"
"Newton","6","1","3","0","4","6"
"Noxubee","5","1","6","5","2","5"
"Oktibbeha","17","16","18","15","8","40"
"Panola","14","13","12","10","10","23"
"Pearl River","38","65","49","35","37","28"
"Perry","2","1","0","0","1","0"
"Pike","27","45","49","51","24","45"
"Pontotoc","32","18","21","13","17","25"
"Prentiss","16","23","26","22","13","30"
"Quitman","2","3","3","4","3","1"
"Rankin","39","42","37","33","33","47"
"Scott","6","6","4","5","5","0"
"Sharkey","3","6","0","0","0","0"
"Simpson","4","10","7","6","5","5"
"Smith","13","10","7","6","7","18"
"Stone","13","4","2","1","2","1"
"Sunflower","9","21","22","17","39","25"
"Tallahatchie","6","2","5","2","3","4"
"Tate","6","6","4","2","6","1"
"Tippah","7","5","8","11","12","4"
"Tishomingo","27","5","7","13","10","2"
"Tunica","5","8","2","4","2","0"
"Union","19","18","20","12","11","36"
"Walthall","8","10","9","4","10","1"
