full job title,Field 16,address,alt address,phone,alt phone,fax,alt fax,email
Stone County Circuit Court Judge (D-2),Christopher L. Schmidt,"PO Box 1461, Gulfport 39502 ",,(228) 865-4104,,,,
Stone County Circuit Court Judge (D-2),Lawrence P. Bourgeois Jr.. ,"PO Box 1461, Gulfport 39502 ",,(228) 865-4262,,,,
Stone County Circuit Court Judge (D-2),Roger T. Clark,"PO Box 1461, Gulfport 39502 ",,(228) 865-4158,,,,
Stone County Circuit Court Judge (D-2),Lisa P. Dodson,"PO Box 1461, Gulfport 39502",,(228) 865-4220,,,,
Lauderdale County Circuit Court Judge (D-10),Justin M. Cobb,"PO Box 5631, Meridian 39302",,(601) 482-9741,,,,
Lauderdale County Circuit Court Judge (D-10),Lester F. Williamson Jr.,"PO Box 86, Meridian 39302",,(601) 482-9741,,,,
Yazoo County Circuit Court Judge (D-21),Jannie M. Lewis-Blackmon," PO Box 149, Lexington 39095",,(662) 834-1452,,,,
Adams County Circuit Court Judge, Lillie Blackmon Sanders," 115 South Wall St, Natchez 39120",,(601) 445-7933,,(601) 445-2369,,
Adams County Circuit Court Judge, Forrest A. Johnson," 115 South Wall St, Natchez 39120",,(601) 442-8363,,(601) 445-7954,,
Marion County Circuit Court Judge,Anthony A. Mozingo,"PO Drawer 269, Purvis 39475",,(601) 794-6035,,,,
Marion County Circuit Court Judge,Prentiss G. Harrell,"PO Box 488, Purvis 39475",,(601) 794-6035,,,,
Marion County Circuit Court Judge,Claiborne McDonald,"PO Box 590, Poplarville 39470",,(601) 403-2360,,,,
