full job title,Field 16,address,alt address,phone,alt phone,fax,alt fax,email
Adams County Sheriff,Travis Lamont Patten," 306 State St, Natchez 39120",,(601) 442-2752,,(601) 442-2911,,
Alcorn County Sheriff,Ben Caldwell,"2833 S Harper Rd, Corinth 38834",,(662) 286-5521,,,,
Amite County Sheriff,Tim Wroten," PO Box 208, Liberty 39645",,(601) 657-8057,,(601) 657-4199,,
Attala County Sheriff,Tim Nail,"112 W Adams St, Kosciusko 39090",,(662) 289-5556,,(662) 289-3476,,
Benton County Sheriff,"A. A. (""Arnie"") McMulleN ","PO Box 245, Ashland 38603",,(662) 224-8941,,(662) 224-6307,,
Bolivar County Sheriff,Kelvin Williams Sr.,"PO Box 157, Rosedale 38769","PO Box 539, Cleveland 38732",(662) 759-3536,(662) 843-5378,(662) 759-3467,(662) 759-3467,
Calhoun County Sheriff,Greg Pollan ," PO Box 158, Pittsboro 38951",,(662) 412-3149,,(662) 412-3197,,
Carroll County Sheriff,Clint Walker," PO Box 291, Carrollton 38917",,(662) 237-9283,,(662) 237-6655,,
Chickasaw County Sheriff,James Meyers,"130 Lancaster Cir, Houston 38851",,(662) 456-2339,,(662) 456-5291,,
Choctaw County Sheriff,Cloyd Halford,"122 Jail House Rd, Ackerman 39735",,(662) 285-6129,,(662) 285-9040,,
Claiborne County Sheriff,Frank Davis  ,"PO Box 427, Port Gibson 39150",,(601) 437-5161,,(601) 437-3824,,
Clarke County Sheriff,Todd Kemp. ,"444 West Donald St, Quitman 39355",,(601) 776-5252,,(601) 776-1025,,
Clay County Sheriff,Eddie Scott,"PO Box 142, West Point 39773",,(662) 494-2896,,(662) 494-4034,,
Coahoma County Sheriff,Charles Jones,"PO Box 1182, Clarksdale 38614",,(662) 624-3081,,(662) 624-3035,,
Copiah County Sheriff,Harold L. Jones Jr.," PO Box 547, Hazlehurst 39083",,(601) 894-3011,,(601) 892-2133,,
Covington County Sheriff,Stann Q. Smith,"PO Box 545, Collins 39428",,(601) 765-8281,,(601) 765-5003,,
DeSoto County Sheriff,Bill Rasco," 3091 Industrial Dr. W, Hernando 38632",,(662) 469-8027,,(662) 469-8543,,
Forrest County Sheriff,Billy Bob McGee," PO Box 747, Hattiesburg 39403",,(601) 544-7800,,(601) 544-8162,,
Franklin County Sheriff,James Newman ,"PO Box 396, Meadville 39653",,(601) 384-2323,,(601) 384-3770,,
