"% OF TOTAL OFFENSES","36.24%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,840"
"Lifers","","1,669"
"Habitual Offenders","","1,174"
"Habitual Lifers","","183"
"Death Row","","64"
