"% OF TOTAL OFFENSES","34.37%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,754"
"Lifers","","1,652"
"Habitual Offenders","","983"
"Habitual Lifers","","150"
"Death Row","","69"
