"% OF TOTAL OFFENSES","32.79%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,642"
"Lifers","","1,650"
"Habitual Offenders","","919"
"Habitual Lifers","","133"
"Death Row","","70"
