"% OF TOTAL OFFENSES","33.11%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,660"
"Lifers","","1,654"
"Habitual Offenders","","924"
"Habitual Lifers","","138"
"Death Row","","70"
