"% OF TOTAL OFFENSES","30.73%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,949"
"Lifers","","1,642"
"Habitual Offenders","","1,339"
"Habitual Lifers","","205"
"Death Row","","59"
