"% OF TOTAL OFFENSES","36.02%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,869"
"Lifers","","1,651"
"Habitual Offenders","","1,212"
"Habitual Lifers","","188"
"Death Row","","61"
