"% OF TOTAL OFFENSES","34.15%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,724"
"Lifers","","1,663"
"Habitual Offenders","","938"
"Habitual Lifers","","148"
"Death Row","","70"
