"% OF TOTAL OFFENSES","35.62%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,792"
"Lifers","","1,666"
"Habitual Offenders","","1,097"
"Habitual Lifers","","172"
"Death Row","","65"
