"% OF TOTAL OFFENSES","30.54%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,954"
"Lifers","","1,661"
"Habitual Offenders","","1,385"
"Habitual Lifers","","208"
"Death Row","","60"
