"% OF TOTAL OFFENSES","32.53%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,941"
"Lifers","","1,632"
"Habitual Offenders","","1,326"
"Habitual Lifers","","203"
"Death Row","","60"
