"% OF TOTAL OFFENSES","33.70%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,718"
"Lifers","","1,660"
"Habitual Offenders","","920"
"Habitual Lifers","","146"
"Death Row","","69"
