"% OF TOTAL OFFENSES","34.69%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,761"
"Lifers","","1,643"
"Habitual Offenders","","1,020"
"Habitual Lifers","","159"
"Death Row","","68"
