"% OF TOTAL OFFENSES","36.06%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,817"
"Lifers","","1,667"
"Habitual Offenders","","1,145"
"Habitual Lifers","","177"
"Death Row","","65"
