"% OF TOTAL OFFENSES","33.87%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,720"
"Lifers","","1,656"
"Habitual Offenders","","922"
"Habitual Lifers","","145"
"Death Row","","69"
