"% OF TOTAL OFFENSES","33.42%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,672"
"Lifers","","1,658"
"Habitual Offenders","","925"
"Habitual Lifers","","141"
"Death Row","","69"
