"% OF TOTAL OFFENSES","34.48%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,913"
"Lifers","","1,646"
"Habitual Offenders","","1,258"
"Habitual Lifers","","194"
"Death Row","","60"
