"% OF TOTAL OFFENSES","34.32%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,747"
"Lifers","","1,656"
"Habitual Offenders","","979"
"Habitual Lifers","","151"
"Death Row","","69"
