"","Mississippi Department of Corrections",""
"","Fact Sheet",""
"","As of June 2, 2014",""
"Armed Robbery (Mandatory)","2,101","12"
"Disclaimer:  These crimes and sentences are based on primary offense and current booking.  Sex offenses are based on all offenses under the current conviction.","",""
