"% OF TOTAL OFFENSES","32.83%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,621"
"Lifers","","1,650"
"Habitual Offenders","","907"
"Habitual Lifers","","130"
"Death Row","","70"
