"% OF TOTAL OFFENSES","35.87%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,811"
"Lifers","","1,660"
"Habitual Offenders","","1,108"
"Habitual Lifers","","173"
"Death Row","","65"
