"% OF TOTAL OFFENSES","36.15%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,860"
"Lifers","","1,663"
"Habitual Offenders","","1,194"
"Habitual Lifers","","186"
"Death Row","","61"
