"% OF TOTAL OFFENSES","33.71%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,685"
"Lifers","","1,650"
"Habitual Offenders","","920"
"Habitual Lifers","","144"
"Death Row","","69"
