"% OF TOTAL OFFENSES","29.98%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,939"
"Lifers","","1,669"
"Habitual Offenders","","1,388"
"Habitual Lifers","","213"
"Death Row","","60"
