"% OF TOTAL OFFENSES","33.51%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,661"
"Lifers","","1,662"
"Habitual Offenders","","920"
"Habitual Lifers","","141"
"Death Row","","69"
