"% OF TOTAL OFFENSES","36.30%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,828"
"Lifers","","1,674"
"Habitual Offenders","","1,161"
"Habitual Lifers","","179"
"Death Row","","65"
