"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4545","60.24%","370","30.01%","4915","55.99%"
"White","2926","817.00%","850","68.94%","3776","43.02%"
"Hispanic","33",".44%","8",".65%","41",".47%"
"Native American","13",".17%","3",".24%","16",".18%"
"Asian","24",".32%","2",".16%","26",".30%"
"unknown","4",".05%","0",".00%","4",".05%"
"TOTAL","7545","100.00%","1233","100.00%","8778","100.00%"
