"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,123","73.88%","97","62.99%","1,220","72.88%"
"White","389","25.59%","57","37.01%","446","26.64%"
"Hispanic","7","0.46%","0","0.00%","7","0.42%"
"Native American","1","0.07%","0","0.00%","1","0.06%"
"Asian","0","0.00%","0","0.00%","01","0.00%"
"TOTAL","1,520","100.00%","154","100.00%","1,674","100.00%"
