race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
"Black","4,676","59.48%","352","27.46%","5,028","54.99%"
"White","3,107","817.00%","921","71.84%","4,028","44.05%"
"Hispanic","40",".51%","4",".31%","44",".48%"
"Native American","14",".18%","1",".08%","15",".16%"
"Asian","23",".29%","3",".23%","26",".28%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,862","100.00%","1,282","100.00%","9,144","100.00%"
