race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
"Black","4,713","58.56%","362","28.39%","5,075","54.44%"
"White","3,261","817.00%","904","70.90%","4,165","44.67%"
"Hispanic","38",".47%","4",".31%","42",".45%"
"Native American","13",".16%","2",".16%","15",".16%"
"Asian","22",".27%","2",".16%","24",".26%"
"Data Unavailable","1","1.00%","1",".08%","2",".02%"
"TOTAL","8,048","100.00%","1,275","100.00%","9,323","100.00%"
