"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1217","58.88%","160","37.56%","1377","55.23%"
"White","834","40.35%","261","61.27%","1095","43.92%"
"Hispanic","9","0.44%","4","0.94%","13","0.52%"
"Native American","6","0.29%","0","0.00%","6","0.24%"
"Asian","1","0.05%","1","0.23%","2","0.08%"
"unknown","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2067","100.00%","426","100.00%","2493","100.00%"
