"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,130","64.42%","137","43.77%","1,267","61.30%"
"White","608","34.66%","171","54.63%","779","37.69%"
"Hispanic","10","0.57%","3","0.96%","13","0.63%"
"Native American","3","0.17%","0","0.00%","33","0.15%"
"Asian","1","0.06%","2","0.64%","3","0.15%"
"Data Unavailable","2","0.11%","0","0.00%","2","0.10%"
"TOTAL","1,754","100.00%","313","100.00%","2,067","100.00%"
