"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1123","67.90%","139","54.30%","1262","66.07%"
"White","512","30.96%","113","44.14%","625","32.72%"
"Hispanic","12","0.73%","3","1.17%","15","0.79%"
"Native American","2","0.12%","0","0.00%","22","0.10%"
"Asian","1","0.06%","1","0.39%","1","0.10%"
"unknown","4","0.24%","0","0.00%","4","0.21%"
"TOTAL","1654","99.76%","256","100.00%","1910","99.79%"
