race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
Black,"4,576",61.40%,388,31.96%,"4,964",57.27%
White,"2,822",37.86%,815,67.13%,"3,637",41.96%
Hispanic,28,0.38%,7,0.58%,35,0.40%
Native American,10,0.13%,2,0.16%,12,0.14%
Asian,13,0.17%,1,0.08%,14,0.16%
Data Unavailable,4,0.05%,1,0.08%,5,0.06%
TOTAL,"7,453",100.00%,"1,214",100.00%,"8,667",100.00%
