"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4207","62.96%","398","35.41%","4605","58.99%"
"White","2425","36.29%","714","63.52%","3139","40.21%"
"Hispanic","25",".37%","7",".62%","32",".41%"
"Native American","9",".13%","3",".27%","12",".15%"
"Asian","13",".19%","1",".09%","14",".18%"
"Data Unavailable","3",".04%","1",".09%","4",".05%"
"TOTAL","6682","100.00%","1124","100.00%","7806","100.00%"
