"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3708","67.95%","494","45.07%","4202","64.12%"
"White","1720","31.52%","596","54.38%","2316","35.34%"
"Hispanic","20",".37%","3",".27%","23",".35%"
"Native American","1",".02%","2",".18%","3",".05%"
"Asian","7",".13%","0",".00%","7",".11%"
"unknown","1",".02%","1",".09%","2",".03%"
"TOTAL","5457","100.00%","1096","100.00%","6553","100.00%"
