"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3708","64.52%","503","41.85%","4211","60.60%"
"White","1999","34.78%","690","57.40%","2689","38.70%"
"Hispanic","21",".37%","6",".50%","27",".39%"
"Native American","6",".10%","2",".17%","8",".12%"
"Asian","11",".19%","1",".08%","12",".17%"
"Data Unavailable","2",".03%","0",".00%","2",".03%"
"TOTAL","5747","100.00%","1202","100.00%","6949","100.00%"
