"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1254","59.60%","148","37.66%","1402","56.15%"
"White","832","39.54%","239","60.81%","1071","42.89%"
"Hispanic","9","0.43%","5","1.27%","14","0.56%"
"Native American","5","0.24%","0","0.00%","5","0.20%"
"Asian","2","0.10%","1","0.25%","3","0.12%"
"unknown","2","0.10%","0","0.00%","2","0.08%"
"TOTAL","2104","100.00%","393","100.00%","2497","100.00%"
