race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
Black,"4556",59.92%,376,30.10%,"4932",55.71%
White,"2974",39.11%,861,68.94%,"3835",43.32%
Hispanic,32,0.42%,7,0.56%,39,0.44%
Native American,17,0.22%,3,0.24%,20,0.23%
Asian,21,0.28%,2,0.16%,23,0.26%
unknown,4,0.05%,0,0.00%,4,0.05%
TOTAL,"7604",100.00%,"1249",100.00%,"8853",100.00%
