"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3993","62.09%","513","38.20%","4506","57.96%"
"White","2393","37.21%","816","60.76%","3209","41.28%"
"Hispanic","20",".31%","11",".82%","31",".40%"
"Native American","6",".09%","1",".07%","7",".09%"
"Asian","14",".22%","1",".07%","15",".19%"
"unknown","5",".08%","1",".07%","6",".08%"
"TOTAL","6431","100.00%","1343","100.00%","7774","100.00%"
