"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1158","63.70%","137","43.08%","1295","60.63%"
"White","647","35.59%","175","55.03%","822","38.48%"
"Hispanic","8","0.44%","4","1.26%","12","0.56%"
"Native American","3","0.17%","0","0.00%","3","0.14%"
"Asian","1","0.06%","2","0.63%","3","0.14%"
"unknown","1","0.06%","0","0.00%","1","0.05%"
"TOTAL","1818","100.00%","318","100.00%","2136","100.00%"
