RACE,MALE,% OF TOTAL MALE POPULATION,FEMALE,% OF TOTAL FEMALE POPULATION,NO. OF OFFENDERS,% OF TOTAL OFFENDERS
Black,"4,591",59.42%,366,29.16%,"4,957",55.19%
White,"3,065",39.67%,877,69.88%,"3,942",43.89%
Hispanic,32,0.41%,6,0.48%,38,0.42%
Native American,11,0.14%,3,0.24%,14,0.16%
Asian,24,0.31%,3,0.24%,27,0.30%
Data Unavailable,3,0.04%,0,0.00%,3,0.03%
TOTAL,"7,726",100.00%,"1,255",100.00%,"8,981",100.00%
