"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4278","63.32%","388","35.43%","4666","59.43%"
"White","2424","35.88%","692","63.20%","3116","39.69%"
"Hispanic","23",".34%","12","1.10%","35",".45%"
"Native American","11",".16%","2",".18%","13",".17%"
"Asian","16",".24%","1",".09%","17",".22%"
"unknown","4",".06%","0",".00%","4",".05%"
"TOTAL","6756","100.00%","1095","100.00%","7851","100.00%"
