"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1145","73.54%","110","57.89%","1255","71.84%"
"White","399","25.63%","78","41.05%","477","27.30%"
"Hispanic","11","0.71%","2","1.05%","13","0.74%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","1","0.06%","0","0.00%","11","0.06%"
"TOTAL","1557","100.00%","190","100.00%","1747","100.00%"
