"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4871","61.98%","530","36.01%","5401","57.88%"
"White","2944","37.46%","935","63.52%","3879","41.57%"
"Hispanic","23",".29%","7",".48%","30",".32%"
"Native American","8",".10%","0",".00%","8",".09%"
"Asian","12",".15%","0",".00%","12",".13%"
"Data Unavailable","1",".01%","0",".00%","1",".01%"
"TOTAL","7859","100.00%","1472","100.00%","9331","100.00%"
