"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3759","62.19%","501","38.57%","4260","54.80%"
"White","2240","37.06%","784","60.35%","3024","38.90%"
"Hispanic","20",".33%","11",".85%","31",".40%"
"Native American","5",".08%","1",".08%","6",".08%"
"Asian","15",".25%","1",".08%","16",".21%"
"unknown","5",".08%","1",".08%","6",".08%"
"TOTAL","6044","100.00%","1299","100.00%","7774","94.46%"
