"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1106","73.44%","98","58.33%","1204","71.92%"
"White","387","25.70%","69","41.07%","456","27.24%"
"Hispanic","11","0.73%","1","0.60%","12","0.72%"
"Native American","1","0.07%","0","0.00%","1","0.06%"
"Asian","1","0.07%","0","0.00%","11","0.06%"
"TOTAL","1506","100.00%","168","100.00%","1674","100.00%"
