"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1246","59.65%","152","38.97%","1398","56.39%"
"White","823","39.40%","231","59.23%","1054","42.52%"
"Hispanic","10","0.48%","5","1.28%","15","0.61%"
"Native American","5","0.24%","0","0.00%","5","0.20%"
"Asian","3","0.14%","2","0.51%","5","0.20%"
"unknown","2","0.10%","0","0.00%","2","0.08%"
"TOTAL","2089","100.00%","390","100.00%","2479","100.00%"
