"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1466","60.23%","186","37.13%","1652","56.29%"
"White","951","39.07%","310","61.88%","1261","42.96%"
"Hispanic","8","0.33%","2","0.40%","10","0.34%"
"Native American","7","0.29%","3","0.60%","10","0.34%"
"Asian","2","0.08%","0","0.00%","2","0.07%"
"unknown","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2434","100.00%","501","100.00%","2935","100.00%"
