"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1245","62.16%","146","40.67%","1391","58.89%"
"White","745","37.19%","206","57.38%","951","40.26%"
"Hispanic","7","0.35%","5","1.39%","12","0.51%"
"Native American","3","0.15%","0","0.00%","3","0.13%"
"Asian","2","0.10%","2","0.56%","4","0.17%"
"Data Unavailable","1","0.05%","0","0.00%","1","0.04%"
"TOTAL","2003","100.00%","359","100.00%","2362","100.00%"
